year,month,water,gas,electricity,electricity_main
2017,11,1,10,0,
2017,12,2,72,113,
2018,1,,136,,
2018,2,5,272,228,
2018,3,,364,,
2018,4,,,
2018,5,,380,,
2018,6,26,385,626,
2018,7,31,390,716,
2018,8,36,394,804,
2018,9,39,410,884,
2018,10,,492,,
2018,11,47,556,1046,
2018,12,51,686,1151,
2019,1,56.48,835,1263,
2019,2,60.98,924,1431,
2019,3,66,982,1565,
2019,4,70.15,1005,1644,
2019,5,74.11,1028,1753,
2019,6,78.64,1032,1969,
2019,7,83.76,1037,2162,
2019,8,87.28,1040,2321,
2019,9,91.29,1051,2452,
2019,10,95.31,1090,2566,
2019,11,99.1,1151,2751,
2019,12,102.97,1264,2907,
2020,1,107.67,1396,3105,
2020,2,111.65,1469,3350,
2020,3,116.31,1533,3648,
2020,4,120.91,1543,3835,
2020,5,125.22,1549,4010,
2020,6,130.86,1553,4205,
2020,7,135.25,1557,4373,
2020,8,139.76,1560,4552,
2020,9,145.34,1565,4767,
2020,10,148.95,1609,5012,
2020,11,154.06,1717,5322,
2020,12,159.55,1827,5600,
2021,1,164.8,1965,5939,
2021,2,169.5,2071,6184,
2021,3,174.96,2153,6408,
2021,4,180.09,2215,6599,
2021,5,185.6,2229,6763,
2021,6,190.66,2234,6982,
2021,7,195.16,2239,7209,
2021,8,199.38,2243,7362,
2021,9,204.56,2254,7548.12,
2021,10,209.51,2323,7753,
2021,11,214.21,2411,8119,
2021,12,,2518,8468,
2022,1,223.89,2637,8904,
2022,2,227.86,2719,9249,
2022,3,232.8,2801,9563,
2022,4,237,2831,9748,
2022,5,242.18,2837,9898,
2022,6,246.28,2841,10074,
2022,7,250.75,2845,10256,
2022,8,254.32,2849,10382,1551
2022,9,258.31,2873,10499,1864
2022,10,260.8,2893,10601,2198
2022,11,265.07,2978,10869,2747
2022,12,270.08,3087,11102,3190
2023,1,274.53,3188,11341,3610
2023,2,278.06,3260,11549,4013
2023,3,282.25,3335,11717,4422
2023,4,286.54,3361,11824,4704
2023,5,289.73,3367,11946,4985
2023,6,294.49,3372,12128,5364
2023,7,299.42,3376,12364,5776
2023,8,303.68,3380,12579,6200
2023,9,307.05,3383,12706,6492
2023,10,311.63,3418,12864,6903
2023,11,316.55,3517,13093,7510
2023,12,321.07,3619,13344,8268
2024,1,325.13,3724,13644,9068
2024,2,,3783,13873,9833
2024,3,335.69,3825,14026,10420
2024,4,,3844,14155,10862
2024,5,346.14,3851,14318,11305
2024,6,350.31,3857,14571,11785
2024,7,,3864,15006,12508
2024,8,362.8,3869,15313,13145
2024,9,367.14,3884,15434,13579
2024,10,372.33,3926,15651,14293
2024,11,377.86,4046,15932,15482
2024,12,383.14,4173,16186,16743
2025,1,388.92,4309,16454,18069
2025,2,393.86,4425,16650,19196
2025,3,398.79,4500,16831,20085
2025,4,403.94,4521,16967,20621
2025,5,410.1,4536,17167,21243
2025,6,,4542,17416,21776
2025,7,421.51,4547,17660,22304
2025,8,426.37,4552,17860,22814
2025,9,431.55,4568,17994,23268
2025,10,436.11,4606,18157,24063
2025,11,,4692,18385,25067
2025,12,449.38,4815,18722,26529
2026,1,456.08,4958,19028,28024
2026,2,461.28,5049,19215,28992
